	GSM3014964_Tissue_CTRL1	GSM3014965_Tissue_CTRL2	GSM3014966_Tissue_CTRL3	GSM3014967_Tissue_CTRL4	GSM3014968_Tissue_CTRL5	GSM3014969_Tissue_CTRL6	GSM3014970_Tissue_CTRL7	GSM3014971_Tissue_CTRL8	GSM3014972_Tissue_PD1	GSM3014973_Tissue_PD2	GSM3014974_Tissue_PD3	GSM3014975_Tissue_PD4	GSM3014976_Tissue_PD5	GSM3014977_Tissue_PD6	GSM3014978_Tissue_PD7	GSM3014979_Tissue_PD8
ENSG00000224550	-3.2227389445130146	0.11824155554004787	0.41525502994800684	-0.49967417194530006	-0.2893625967198006	1.070685383056281	0.4483515207645386	1.1998419533388691	-0.5766336049160108	-0.45383550208669177	0.23165205966157307	0.027421254266279275	-0.16104076992419689	0.056742597962737056	0.4002247602317185	1.2348694753349392
YWHAH	-3.5435749836441106	-0.007888896601384391	0.3275861145994238	-0.6200071418798359	0.5142246743294263	0.527329398724438	0.24541323844414176	-0.2491926275282703	0.5286058850849832	0.054789971599459954	-0.24957322134739923	0.8882809615932596	0.309729394497624	0.732664265272659	0.7028407065176924	-0.1612277396620926
SOX9	2.7508840696185244	0.6912304906013759	-0.9682997807176188	0.07796099513327318	-0.9305405116859877	-1.2640018314152766	-0.5592539630409243	0.586418964389445	-0.43497193471585055	0.5953220235027341	-0.35945273894764485	-0.38554654037997965	0.07394012546409709	-0.1869398123360243	-1.0640218466122409	1.3772722911420627
C4A	0.4289186802740251	0.17631114308810902	-0.9651127302458424	0.8376226977851475	0.43285092935816766	-1.601322625767197	-1.3495686551083454	0.37829870419406425	0.4434167829010113	-0.2804290455098763	2.007607765276846	0.15897635138900248	0.7556605193437343	-1.0979468582733665	-1.442370916210417	1.1170872575049238
PEBP1	-3.0366998409917265	0.8660001616755097	0.5906137951251736	-0.9823388446070992	0.6327661722075978	0.3228497934844058	0.37130292687907385	-0.2004664449721938	0.3237809868402346	0.4044541590202014	-1.1255623561932742	0.7537672463502517	0.2370195540114922	0.6876752858045981	0.9103262623473469	-0.755488856981626
CST3	2.464685778826112	0.5420343548750275	-0.2210733480644399	0.723134315586983	-0.8843974878825387	-0.6676571953467351	0.6423669469881611	-0.7194976640177285	0.9908465791005739	-1.022047442922994	-1.3832664149558225	-1.0688064730489681	-0.6432163977772484	0.7667927983462793	-0.35257484855191895	0.8326764988451828
TUBB4B	-3.0563076798331887	1.1996906755102137	0.693732832389407	-0.002708200633577129	-0.8367522318282714	0.05780374987312736	-0.26953279515226114	-0.7451379344880134	-0.1463537637732615	1.1243123999339106	1.0062740437088102	0.39395610347867566	0.410092308673229	-0.30313344293967354	0.7761787377694	-0.3021148026885533
GP1BB	2.4928971043562735	0.6216887531230667	-0.3764529805663685	-1.487846607215581	-0.8822934925593967	0.5261791587055304	-0.5031205566555901	-0.938950009632856	0.9552255315455692	0.6174626540732944	-1.3216001121853693	-0.2742893572540799	-0.7840692859677246	0.825821839804887	-0.12331529859102613	0.6526626590193771
RTN3PS	-3.397770567546912	0.11936223923249668	0.508064762755301	-1.2960191414410787	0.5538350280045748	0.6446006711364873	0.16068330636180056	0.31358191688852904	-0.14813840237117878	-0.025523866262474312	0.5296318528389724	0.7292676269496211	0.19505622367722064	0.3385093659744137	0.8169292195513247	-0.042070235749095894
RPS4Y1	-1.0630894330862402	1.036370879240068	-0.938356984832358	-0.9455261105714382	-1.0169587404208822	1.0209557090775212	1.0038088102668412	0.9206833116039579	-1.0440382381238822	0.9264979478319856	-1.1008677652454217	-0.9897193373099346	1.0215523522470362	1.0685361865440806	-0.8877875132317319	0.9879389260103977
