Gene_Symbol,GSM3014964_Tissue_CTRL1,GSM3014965_Tissue_CTRL2,GSM3014966_Tissue_CTRL3,GSM3014967_Tissue_CTRL4,GSM3014968_Tissue_CTRL5,GSM3014969_Tissue_CTRL6,GSM3014970_Tissue_CTRL7,GSM3014971_Tissue_CTRL8,GSM3014972_Tissue_PD1,GSM3014973_Tissue_PD2,GSM3014974_Tissue_PD3,GSM3014975_Tissue_PD4,GSM3014976_Tissue_PD5,GSM3014977_Tissue_PD6,GSM3014978_Tissue_PD7,GSM3014979_Tissue_PD8
ABCA6,0.6801,0.47748,0.55933,0.67845,0.51729,0.31488,0.64314,0.76411,0.55078,0.58873,0.49642,0.37189,0.45551,0.46715,0.25904,0.67572
ABCA7,3.39992,4.2121,3.26495,3.01025,3.51985,4.32481,3.50898,4.29861,3.02918,5.10066,3.96506,3.17656,3.10028,2.20341,2.82509,4.36606
ABCA8,4.87765,2.62258,1.27267,2.62819,1.81472,0.85254,1.83416,1.92161,1.00191,1.56948,1.13185,0.7466,1.08036,0.50231,1.35474,2.64802
ABCA9,1.66344,1.10423,1.31891,1.63214,1.33657,1.19358,1.89021,2.48809,1.77121,1.36747,1.1853,0.9647,1.30905,1.20652,0.67549,1.78122
ABCB1,10.97212,8.04932,8.4553,7.3333,12.12195,5.07822,7.16287,8.15323,13.11703,5.42398,9.2431,8.04921,9.60649,7.4339,9.98731,6.6445
ABCB10,3.13121,3.13362,3.19572,4.04021,3.38556,3.47486,3.2443,3.08939,4.57415,3.61437,2.40159,3.16145,3.0229,3.11254,3.68321,3.08223
ABCB10P,0.38124,0.29086,0.46578,0.44427,0.404,0.64913,0.69761,0.49881,0.86744,0.51403,0.14258,0.47907,0.33481,0.42685,0.37695,0.31052
ABCB11,0.13028,0.05754,0.06702,0,0.09837,0.19641,0.04089,0.03701,0,0.20339,0.05641,0.03159,0.02409,0,0.12429,0.08447
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB4,0.65506,0.31885,0.22409,0.17274,0.19736,0.25404,0.21097,0.26869,0.26232,0.15545,0.30613,0.3139,0.17489,0.36574,0.18049,0.29345
ABCB5,0.00832,0,0.01016,0.01523,0,0,0.0062,0,0,0,0.00684,0,0,0,0.00754,0
